127.0.0.1, 2013-10-07 18:15:13, GET, /lecture3/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000416
127.0.0.1, 2013-10-07 18:15:13, GET, /lecture3/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000671
127.0.0.1, 2013-10-07 18:15:13, GET, /lecture3/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000384
127.0.0.1, 2013-10-07 18:15:13, GET, /lecture3/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000970
127.0.0.1, 2013-10-07 18:15:13, GET, /lecture3/static/js/share.js, HTTP/1.1, 304, 0.000332
127.0.0.1, 2013-10-07 18:15:14, GET, /lecture3/static/images/twitter.png, HTTP/1.1, 304, 0.000397
127.0.0.1, 2013-10-07 18:15:14, GET, /lecture3/static/images/facebook.png, HTTP/1.1, 304, 0.000287
127.0.0.1, 2013-10-07 18:15:14, GET, /lecture3/static/images/gplus-32.png, HTTP/1.1, 304, 0.000396
127.0.0.1, 2013-10-07 18:15:19, GET, /lecture3/default/second, HTTP/1.1, 200, 0.022731
127.0.0.1, 2013-10-07 18:17:38, GET, /lecture3/default/second, HTTP/1.1, 200, 0.022468
127.0.0.1, 2013-10-07 18:17:38, GET, /lecture3/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000454
127.0.0.1, 2013-10-07 18:17:38, GET, /lecture3/static/js/jquery.js, HTTP/1.1, 304, 0.000332
127.0.0.1, 2013-10-07 18:17:38, GET, /lecture3/static/css/calendar.css, HTTP/1.1, 304, 0.000311
127.0.0.1, 2013-10-07 18:17:38, GET, /lecture3/static/js/calendar.js, HTTP/1.1, 304, 0.000291
127.0.0.1, 2013-10-07 18:17:38, GET, /lecture3/static/js/web2py.js, HTTP/1.1, 304, 0.000423
127.0.0.1, 2013-10-07 18:17:38, GET, /lecture3/static/css/web2py.css, HTTP/1.1, 304, 0.000387
127.0.0.1, 2013-10-07 18:17:38, GET, /lecture3/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000404
127.0.0.1, 2013-10-07 18:17:38, GET, /lecture3/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000368
127.0.0.1, 2013-10-07 18:17:38, GET, /lecture3/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000279
127.0.0.1, 2013-10-07 18:17:38, GET, /lecture3/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000368
127.0.0.1, 2013-10-07 18:17:38, GET, /lecture3/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000267
127.0.0.1, 2013-10-07 18:17:38, GET, /lecture3/static/js/share.js, HTTP/1.1, 304, 0.000189
127.0.0.1, 2013-10-07 18:17:38, GET, /lecture3/static/images/twitter.png, HTTP/1.1, 304, 0.000285
